
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado           PID
  TCP    192.168.100.54:61161   71.18.255.147:443      ESTABLISHED     268
  TCP    192.168.100.54:61187   2.16.169.14:443        ESTABLISHED     268
  TCP    192.168.100.54:61193   44.218.220.243:443     ESTABLISHED     5020
  TCP    192.168.100.54:62643   162.247.243.29:443     ESTABLISHED     268
  TCP    192.168.100.54:62837   162.159.130.234:443    ESTABLISHED     13516
  TCP    [::]:135               [::]:0                 LISTENING       1500
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:7680              [::]:0                 LISTENING       14320
  TCP    [::]:49664             [::]:0                 LISTENING       1180
  TCP    [::]:49665             [::]:0                 LISTENING       580
  TCP    [::]:49666             [::]:0                 LISTENING       1864
  TCP    [::]:49667             [::]:0                 LISTENING       2288
  TCP    [::]:49668             [::]:0                 LISTENING       3180
  TCP    [::]:49681             [::]:0                 LISTENING       1160
  TCP    [::1]:42050            [::]:0                 LISTENING       15076
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:49683  [2603:1030:210:f::]:443  ESTABLISHED     3892
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:49813  [2a03:2880:f205:2c5:face:b00c:0:167]:443  ESTABLISHED     268
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:50113  [2606:4700:7::a29f:89ea]:2083  ESTABLISHED     13516
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:50152  [2001:b28:f23d:8005:7:0:109:337]:443  ESTABLISHED     268
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:52141  [2606:4700:7::a29f:82eb]:2083  ESTABLISHED     13516
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:52237  [2a06:98c1:3108::ac40:94eb]:443  ESTABLISHED     268
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:52623  [2600:1901:1:365::]:443  ESTABLISHED     8232
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:52788  [2a04:4e42:600::380]:443  ESTABLISHED     268
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:53142  [2600:1901:1:365::]:443  TIME_WAIT       0
  TCP    [2804:5344:500b:ad00:6d7e:2877:e1d7:af43]:54824  [2606:4700:20::ac43:46bf]:443  ESTABLISHED     268
